Data;dolar australian (lei) CURSZ_AUD;dolar canadian (lei) CURSZ_CAD;franc elveţian (lei) CURSZ_CHF;euro (lei) CURSZ_EUR;leu moldovenesc (lei) CURSZ_MDL;dolar SUA (lei) CURSZ_USD
21.12.2022;3,0841;3,3902;4,9813;4,9023;0,2383;4,6165
20.12.2022;3,0893;3,3928;4,9866;4,914;0,239;4,6193
19.12.2022;3,1126;3,3967;4,9751;4,9176;0,2384;4,6333
16.12.2022;3,0963;3,3854;4,9761;4,9199;0,2391;4,6305
15.12.2022;3,134;3,4146;4,9847;4,9206;0,2391;4,6338
14.12.2022;3,174;3,4083;4,9864;4,9248;0,2415;4,6225
13.12.2022;3,1689;3,4374;4,9961;4,9314;0,2409;4,6821
12.12.2022;3,1639;3,4156;5,0039;4,9286;0,2408;4,6664
09.12.2022;3,1553;3,4211;4,9963;4,9211;0,2412;4,6615
08.12.2022;3,1512;3,4303;4,9737;4,9192;0,2412;4,6852
07.12.2022;3,1265;3,421;4,9766;4,9186;0,2397;4,6835
06.12.2022;3,1421;3,4338;4,9667;4,9126;0,2374;4,6804
05.12.2022;3,1778;3,4784;4,9903;4,9207;0,2383;4,6726
02.12.2022;3,1935;3,486;5,0142;4,9297;0,2417;4,6851
29.11.2022;3,1941;3,5228;4,989;4,9184;0,2427;4,7383
28.11.2022;3,1556;3,5027;4,9892;4,9266;0,2447;4,7043
25.11.2022;3,1913;3,5438;5,012;4,925;0,2453;4,7278
24.11.2022;3,1966;3,5514;5,0256;4,9309;0,2479;4,739
23.11.2022;3,1826;3,5731;5,0285;4,9385;0,2502;4,7923
22.11.2022;3,1828;3,5761;5,0192;4,9253;0,2509;4,7918
21.11.2022;3,1966;3,5959;5,0346;4,9417;0,2486;4,8287
18.11.2022;3,2026;3,5742;5,0066;4,9418;0,2492;4,7618
17.11.2022;3,1784;3,563;5,0162;4,9267;0,2473;4,764
16.11.2022;3,2015;3,5626;5,0226;4,9209;0,2466;4,7176
15.11.2022;3,1793;3,5421;5,0061;4,9032;0,2488;4,702
14.11.2022;3,1729;3,5781;5,0215;4,8982;0,2474;4,7588
11.11.2022;3,1762;3,5794;4,9579;4,8902;0,2554;4,7644
10.11.2022;3,144;3,6259;4,9722;4,8919;0,2524;4,9207
09.11.2022;3,156;3,6301;4,956;4,9052;0,2541;4,8852
